src,dst
alkanas,izsalcis
alus,alus
arbata,tēja
argumentas,arguments
arti,tuvu
atgal,atpakaļ
atsiprašau,atvainojiet
autobusas,autobuss
ačiū,paldies
balta,balta
bijau,baidījos
bilietas,biļete
biuras,birojs
blogai,slikti
brangu,dārgi
brolis,brālis
butas,dzīvoklis
dabar,tagad
darbas,darbs
dešinė,pa labi
dirbu,strādāju
diskusija,diskusija
draugas,draugs
du,divi
duona,maize
džiaugiuosi,priecājos
einu,eju
el. paštas,e-pasts
gaisras,ugunsgrēks
galva,galva
gatvė,iela
gerai,labi
geras,labs
geriu,dzeru
geriu vandenį,dzeru ūdeni
grynais,skaidrā naudā
gydytojas,ārsts
iki,līdz
internetas,internets
istorija,vēsture
juoda,melna
kada,kad
kaina,cena
kaip,kā
kairė,pa kreisi
kambarys,istaba
karšta,karsts
kas,kas
kasininkas,kasieris
kava,kafija
keliauti,ceļot
kelionė,ceļojums
keliuosi,pieceļos
keturi,četri
kodėl,kāpēc
koja,kāja
kompiuteris,dators
kortelė,karte
kultūra,kultūra
kur,kur
ką,ko
labas,sveiki
lagaminas,koferis
laimingas,laimīgs
laisvalaikis,brīvais laiks
lietus,lietus
ligoninė,slimnīca
liūdnas,skumjš
lova,gulta
malonu,prieks iepazīties
mama,mamma
man patinka,man patīk
manau,domāju
meniu,ēdienkarte
miegu,guļu
miestas,pilsēta
muitinė,muita
mėgstu,man patīk
mėlyna,zila
mėsa,gaļa
nakvynė,naktsmītne
namai,mājas
ne,nē
nenoriu,negribu
nepatinka,nepatīk
nesutinku,nepiekrītu
noriu,gribu
noriu alaus,gribu alu
noriu kavos,gribu kafiju
noriu vandens,gribu ūdeni
nuolaida,atlaide
nuomonė,viedoklis
nuomonės,viedokļi
nustebęs,pārsteigts
nutiko,notika
oras,laikapstākļi
oro uostas,lidosta
pabaiga,beigas
pagalba,palīdzība
paprotys,paraža
parduotuvė,veikals
pasakojimas,stāsts
pasas,pase
pasirinkimas,izvēle
patenkintas,apmierināts
patirtis,pieredze
pavargęs,noguris
pavojus,briesmas
penki,pieci
pietūs,pusdienas
pigu,lēti
piktas,dusmīgs
pinigai,nauda
planuoju,plānoju
policija,policija
pradžia,sākums
prašau,lūdzu
prašau vandens,lūdzu ūdeni
problema,problēma
programa,programma
projektas,projekts
pusryčiai,brokastis
raktas,atslēga
ramus,mierīgs
ranka,roka
ranką,roku
raudona,sarkana
registracija,reģistrācija
renginys,pasākums
rezultatas,rezultāts
rytoj,rīt
saulė,saule
sesuo,māsa
siena,siena
sienos,sienas
skanu,garšīgi
skausmas,sāpes
sprendimas,risinājums
stalas,galds
stotis,stacija
susirūpinęs,satraukts
susitikimas,tikšanās
susitiksime,tiksimies
susitikti,satikt
sutinku,piekrītu
svarbu,svarīgi
sąskaita,rēķins
sūris,siers
taip,jā
taksi,taksometrs
telefonas,telefons
ten,tur
ten kava,tur ir kafija
tiesiai,taisni
tradicija,tradīcija
traukinys,vilciens
trys,trīs
turiu,man ir
tėtis,tētis
vakar,vakar
vakarienė,vakariņas
valanda,stunda
valgau,ēdu
valgau duoną,ēdu maizi
vanduo,ūdens
vardas,vārds
vienas,viens
viešbutis,viesnīca
virtuvė,virtuve
viso gero,uz redzēšanos
visuomenė,sabiedrība
vonios kambarys,vannas istaba
vynas,vīns
vėliau,vēlāk
čekis,čeks
čia,šeit
čia vanduo,šeit ir ūdens
šalta,auksts
šeima,ģimene
šiandien,šodien
švara,tīrs
šventė,svētki
žalia,zaļš
žiniasklaida,plašsaziņas līdzekļi
žinutė,ziņa
žuvis,zivs
ačiū,paldies
prašau,lūdzu
atsiprašau,atvainojiet
